2026-01-30 19:03:01 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2022.xls: 27 rows, 5 columns
2026-01-30 19:03:01 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:03:01 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:03:01 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:03:01 | INFO     | run:217 | Directory loading complete
2026-01-30 19:04:43 | INFO     | get_dashboard_logger:565 | === MONITORING.STATIC_BOREHOLES Dashboard Logger Initialized ===
2026-01-30 19:04:43 | INFO     | __init__:83 | DirectoryLoadWorker initialized for static_boreholes
2026-01-30 19:04:43 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
2026-01-30 19:04:44 | INFO     | run:150 | Found 4 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Static Boreholes
2026-01-30 19:04:44 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2021.xls: 27 rows, 5 columns
2026-01-30 19:04:44 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2022.xls: 27 rows, 5 columns
2026-01-30 19:04:44 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:04:44 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:04:44 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:04:44 | INFO     | run:217 | Directory loading complete
2026-01-30 19:09:59 | INFO     | get_dashboard_logger:565 | === MONITORING.STATIC_BOREHOLES Dashboard Logger Initialized ===
2026-01-30 19:09:59 | INFO     | __init__:83 | DirectoryLoadWorker initialized for static_boreholes
2026-01-30 19:09:59 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
2026-01-30 19:09:59 | INFO     | run:150 | Found 4 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Static Boreholes
2026-01-30 19:09:59 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2021.xls: 27 rows, 5 columns
2026-01-30 19:09:59 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2022.xls: 27 rows, 5 columns
2026-01-30 19:09:59 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:09:59 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:09:59 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:09:59 | INFO     | run:217 | Directory loading complete
2026-01-30 19:13:58 | INFO     | get_dashboard_logger:565 | === MONITORING.STATIC_BOREHOLES Dashboard Logger Initialized ===
2026-01-30 19:13:58 | INFO     | __init__:83 | DirectoryLoadWorker initialized for static_boreholes
2026-01-30 19:13:58 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
2026-01-30 19:13:58 | INFO     | run:150 | Found 4 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Static Boreholes
2026-01-30 19:13:58 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2021.xls: 27 rows, 5 columns
2026-01-30 19:13:58 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2022.xls: 27 rows, 5 columns
2026-01-30 19:13:58 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:13:58 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:13:58 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:13:58 | INFO     | run:217 | Directory loading complete
2026-01-30 19:21:32 | INFO     | get_dashboard_logger:565 | === MONITORING.STATIC_BOREHOLES Dashboard Logger Initialized ===
2026-01-30 19:21:32 | INFO     | __init__:83 | DirectoryLoadWorker initialized for static_boreholes
2026-01-30 19:21:32 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
2026-01-30 19:21:32 | INFO     | run:150 | Found 4 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Static Boreholes
2026-01-30 19:21:33 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2021.xls: 27 rows, 5 columns
2026-01-30 19:21:33 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2022.xls: 27 rows, 5 columns
2026-01-30 19:21:33 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:21:33 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:21:33 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:21:33 | INFO     | run:217 | Directory loading complete
2026-01-30 19:24:55 | INFO     | get_dashboard_logger:565 | === MONITORING.STATIC_BOREHOLES Dashboard Logger Initialized ===
2026-01-30 19:24:55 | INFO     | __init__:83 | DirectoryLoadWorker initialized for static_boreholes
2026-01-30 19:24:55 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
2026-01-30 19:24:55 | INFO     | run:150 | Found 4 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Static Boreholes
2026-01-30 19:24:56 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2021.xls: 27 rows, 5 columns
2026-01-30 19:24:56 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2022.xls: 27 rows, 5 columns
2026-01-30 19:24:56 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:24:56 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:24:56 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:24:56 | INFO     | run:217 | Directory loading complete
2026-01-30 19:27:28 | INFO     | get_dashboard_logger:565 | === MONITORING.STATIC_BOREHOLES Dashboard Logger Initialized ===
2026-01-30 19:27:28 | INFO     | __init__:83 | DirectoryLoadWorker initialized for static_boreholes
2026-01-30 19:27:28 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
2026-01-30 19:27:28 | INFO     | run:150 | Found 4 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Static Boreholes
2026-01-30 19:27:28 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2021.xls: 27 rows, 5 columns
2026-01-30 19:27:28 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2022.xls: 27 rows, 5 columns
2026-01-30 19:27:28 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:27:28 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:27:28 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:27:28 | INFO     | run:217 | Directory loading complete
2026-01-30 19:27:28 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
2026-01-30 19:27:28 | INFO     | run:150 | Found 4 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Static Boreholes
2026-01-30 19:27:28 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2021.xls: 27 rows, 5 columns
2026-01-30 19:27:28 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2022.xls: 27 rows, 5 columns
2026-01-30 19:27:28 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:27:28 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:27:28 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:27:28 | INFO     | run:217 | Directory loading complete
2026-01-30 19:34:34 | INFO     | get_dashboard_logger:565 | === MONITORING.STATIC_BOREHOLES Dashboard Logger Initialized ===
2026-01-30 19:34:34 | INFO     | __init__:83 | DirectoryLoadWorker initialized for static_boreholes
2026-01-30 19:34:34 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
2026-01-30 19:34:35 | INFO     | run:150 | Found 4 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Static Boreholes
2026-01-30 19:34:35 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2021.xls: 27 rows, 5 columns
2026-01-30 19:34:35 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2022.xls: 27 rows, 5 columns
2026-01-30 19:34:35 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:34:35 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:34:35 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:34:35 | INFO     | run:217 | Directory loading complete
2026-01-30 19:34:35 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
2026-01-30 19:34:35 | INFO     | run:150 | Found 4 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Static Boreholes
2026-01-30 19:34:35 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2021.xls: 27 rows, 5 columns
2026-01-30 19:34:35 | INFO     | run:181 | Loaded Boreholes Static Levels April - June  2022.xls: 27 rows, 5 columns
2026-01-30 19:34:35 | INFO     | run:181 | Loaded Boreholes Static Levels Q 3  2022.xls: 27 rows, 6 columns
2026-01-30 19:34:35 | INFO     | run:181 | Loaded Boreholes Static Levels Q3  2021.xls: 27 rows, 5 columns
2026-01-30 19:34:35 | INFO     | run:199 | Combined 4 files into DataFrame: 108 total rows, 6 columns
2026-01-30 19:34:35 | INFO     | run:217 | Directory loading complete
2026-01-30 19:40:35 | INFO     | get_dashboard_logger:565 | === MONITORING.STATIC_BOREHOLES Dashboard Logger Initialized ===
2026-01-30 19:40:35 | INFO     | __init__:83 | DirectoryLoadWorker initialized for static_boreholes
2026-01-30 19:40:35 | INFO     | load_directory:93 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Static Boreholes
