2026-02-05 02:53:19 | DEBUG    | _load_and_display_recirculation:631 | Updated ug2plant_ug2pcd1 recirculation badge: 36.0 m³
2026-02-05 02:53:19 | DEBUG    | _load_and_display_recirculation:631 | Updated merplant_mpswd12 recirculation badge: 36.0 m³
2026-02-05 02:53:19 | INFO     | _load_and_display_recirculation:633 | Loaded 11 recirculation volumes for UG2N (2025/12)
2026-02-05 02:53:19 | DEBUG    | _update_balance_check_labels:2553 | Balance check labels updated: Inflows=5783439, Recirculation=9254, Outflows=5007265, Error=13.3%
2026-02-05 02:53:19 | INFO     | __init__:152 | Flow Diagram Page initialized
2026-02-05 02:54:48 | INFO     | get_dashboard_logger:572 | === FLOW_DIAGRAM Dashboard Logger Initialized ===
2026-02-05 02:54:51 | DEBUG    | _restore_selected_date:274 | Restored year: 2025
2026-02-05 02:54:51 | DEBUG    | _restore_selected_date:279 | Restored month: 12
2026-02-05 02:54:51 | DEBUG    | _populate_filter_dropdowns:244 | Filter dropdowns populated
2026-02-05 02:54:51 | DEBUG    | _connect_toolbar_buttons:215 | Toolbar buttons connected
2026-02-05 02:54:51 | INFO     | load_diagram:337 | Loaded diagram for UG2N
2026-02-05 02:54:51 | DEBUG    | _render_diagram:407 | Created zone background: UG2 North Decline Area
2026-02-05 02:54:51 | DEBUG    | _render_diagram:407 | Created zone background: Stockpile Area
2026-02-05 02:54:51 | DEBUG    | _render_diagram:407 | Created zone background: UG2 Main Decline Area
2026-02-05 02:54:51 | DEBUG    | _render_diagram:407 | Created zone background: Merensky South Area
2026-02-05 02:54:51 | DEBUG    | _render_diagram:407 | Created zone background: UG2 Plant Area
2026-02-05 02:54:51 | DEBUG    | _render_diagram:407 | Created zone background: Merensky Plant Area
2026-02-05 02:54:51 | DEBUG    | _render_diagram:407 | Created zone background: Old TSF
2026-02-05 02:54:51 | DEBUG    | _render_diagram:407 | Created zone background: New TSF
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: bh_ndgwa
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: rainfall_inflow
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: softening
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: reservoir
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: trp_clinic
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: offices
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: sewage
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ndcd
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: north_decline
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: north_shaft
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: septic
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: consumption
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: losses
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: consumption2
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: losses2
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: spill
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: evaporation
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: dust_suppression
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: stockpile_area
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: spcd1
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: stockpile_offices
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: stockpile_septic
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: stockpile_consumption
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: stockpile_spill
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: stockpile_evaporation
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: stockpile_dust_suppression
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: stockpile_evaporation2
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: stockpile_bh_gwa
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: stockpile_rainfall
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: stockpile_rainfall_spcd1
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_borehole
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_rainfall
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_mdcdg
2026-02-05 02:54:51 | DEBUG    | _render_diagram:468 | Created FlowNodeItem: ug2s_soft
