2026-01-31 00:01:00 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:01:00 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:01:00 | INFO     | run:231 | Directory loading complete
2026-01-31 00:03:05 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:03:05 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:03:05 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:03:05 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:03:05 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:03:05 | INFO     | run:231 | Directory loading complete
2026-01-31 00:05:24 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:05:24 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:05:24 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:05:24 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:05:24 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:05:24 | INFO     | run:231 | Directory loading complete
2026-01-31 00:06:55 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:06:55 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:06:55 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:06:55 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:06:55 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:06:55 | INFO     | run:231 | Directory loading complete
2026-01-31 00:08:40 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:08:40 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:08:40 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:08:40 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:08:40 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:08:40 | INFO     | run:231 | Directory loading complete
2026-01-31 00:10:02 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:10:02 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:10:02 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:10:02 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:10:03 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:10:03 | INFO     | run:231 | Directory loading complete
2026-01-31 00:10:45 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
2026-01-31 00:10:45 | INFO     | run:151 | Found 3 Excel files in C:\Users\Caliphs Zvinowanda\OneDrive\Desktop\Monitoring Borehole
2026-01-31 00:10:45 | INFO     | run:212 | Combined 3 files into DataFrame: 46 total rows, 14 columns
2026-01-31 00:10:45 | INFO     | run:231 | Directory loading complete
2026-01-31 00:14:33 | INFO     | get_dashboard_logger:565 | === MONITORING.BOREHOLE_MONITORING Dashboard Logger Initialized ===
2026-01-31 00:14:33 | INFO     | __init__:84 | DirectoryLoadWorker initialized for borehole_monitoring
2026-01-31 00:14:33 | INFO     | load_directory:94 | Set load directory: C:/Users/Caliphs Zvinowanda/OneDrive/Desktop/Monitoring Borehole
